--- When using SR data, please cite us and provide a link and/or a mention.



,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
85,Jordan Hamilton,2016,2016,1,11,304,49,116,13,45,14,21,12,62,25,8,3,17,24,125,.422,.289,.667,27.6,11.4,5.6,2.3,0.7,0.3,hamiljo02
86,Jared Harper,2022,2022,1,5,43,14,26,5,12,4,4,2,2,14,4,1,2,5,37,.538,.417,1.000,8.6,7.4,0.4,2.8,0.8,0.2,harpeja01
87,Junior Harrington,2005,2005,1,29,550,64,178,6,19,29,35,13,63,62,25,5,41,72,163,.360,.316,.829,19.0,5.6,2.2,2.1,0.9,0.2,harriju01
88,Terrel Harris,2013,2013,1,13,108,2,19,0,7,1,2,0,17,7,2,3,13,14,5,.105,.000,.500,8.3,0.4,1.3,0.5,0.2,0.2,harrite01
89,Andrew Harrison,2019,2019,1,6,38,3,12,2,10,1,2,2,5,7,0,0,2,7,9,.250,.200,.500,6.3,1.5,0.8,1.2,0.0,0.0,harrian01
90,Jason Hart,2010,2010,1,4,17,1,1,0,0,0,0,0,2,5,1,1,3,4,2,1.000,,,4.3,0.5,0.5,1.3,0.3,0.3,hartja01
91,Josh Hart,2020,2022,3,153,4478,571,1262,226,677,270,358,167,1120,385,146,46,205,389,1638,.452,.334,.754,29.3,10.7,7.3,2.5,1.0,0.3,hartjo01
92,Kirk Haston,2003,2003,1,12,57,2,17,0,3,2,4,0,7,3,0,5,7,10,6,.118,.000,.500,4.8,0.5,0.6,0.3,0.0,0.4,hastoki01
93,Jordan Hawkins,2024,2024,1,67,1160,174,456,109,298,67,80,29,148,70,19,7,40,72,524,.382,.366,.838,17.3,7.8,2.2,1.0,0.3,0.1,hawkijo01
94,Jaxson Hayes,2020,2023,4,241,4052,680,1093,30,104,418,581,343,963,168,104,167,177,484,1808,.622,.288,.719,16.8,7.5,4.0,0.7,0.4,0.7,hayesja02
95,Xavier Henry,2012,2013,2,95,1384,156,389,11,28,110,177,45,196,48,42,13,66,131,433,.401,.393,.621,14.6,4.6,2.1,0.5,0.4,0.1,henryxa01
96,Willy Hernangómez,2021,2023,3,135,2143,410,764,8,33,252,338,318,852,146,60,55,124,229,1080,.537,.242,.746,15.9,8.0,6.3,1.1,0.4,0.4,hernawi01
97,Buddy Hield,2017,2017,1,57,1161,185,471,89,241,29,33,19,166,77,18,7,48,81,488,.393,.369,.879,20.4,8.6,2.9,1.4,0.3,0.1,hieldbu01
98,Solomon Hill,2017,2019,3,136,3439,262,697,130,392,129,166,94,476,218,102,43,122,284,783,.376,.332,.777,25.3,5.8,3.5,1.6,0.8,0.3,hillso01
99,Jrue Holiday,2014,2020,7,415,13913,2876,6225,628,1817,941,1214,347,1728,2833,638,267,1164,977,7321,.462,.346,.775,33.5,17.6,4.2,6.8,1.5,0.6,holidjr01
100,D.J. Mbenga,2011,2011,1,41,330,23,49,0,0,13,18,35,86,6,6,27,21,52,59,.469,,.722,8.0,1.4,2.1,0.1,0.1,0.7,mbengdj01
101,Brandon Ingram,2020,2024,5,287,9707,2377,5032,517,1391,1346,1589,186,1569,1487,219,159,805,683,6617,.472,.372,.847,33.8,23.1,5.5,5.2,0.8,0.6,ingrabr01
102,Wes Iwundu,2021,2021,1,18,251,17,50,2,18,14,17,9,46,8,6,1,13,23,50,.340,.111,.824,13.9,2.8,2.6,0.4,0.3,0.1,iwundwe01
103,Jarrett Jack,2011,2017,3,117,2938,480,1101,68,197,273,318,37,307,473,73,15,185,174,1301,.436,.345,.858,25.1,11.1,2.6,4.0,0.6,0.1,jackja01
104,Bobby Jackson,2007,2008,2,102,2221,320,814,107,309,170,217,65,288,217,82,9,109,157,917,.393,.346,.783,21.8,9.0,2.8,2.1,0.8,0.1,jacksbo01
105,Frank Jackson,2019,2020,2,120,1966,328,778,100,313,110,148,47,217,130,42,6,97,169,866,.422,.319,.743,16.4,7.2,1.8,1.1,0.4,0.1,jacksfr01
106,Marc Jackson,2006,2007,2,83,1619,267,609,1,3,118,137,118,320,80,29,9,102,145,653,.438,.333,.861,19.5,7.9,3.9,1.0,0.3,0.1,jacksma02
107,Casey Jacobsen,2005,2005,1,44,1030,100,251,32,88,103,130,18,100,76,22,7,44,48,335,.398,.364,.792,23.4,7.6,2.3,1.7,0.5,0.2,jacobca01
108,Mike James,2008,2009,2,29,257,30,89,10,27,7,8,4,24,14,6,0,10,19,77,.337,.370,.875,8.9,2.7,0.8,0.5,0.2,0.0,jamesmi01
109,Mike James,2018,2018,1,4,18,2,9,0,1,0,0,1,1,6,1,0,1,3,4,.222,.000,,4.5,1.0,0.3,1.5,0.3,0.0,jamesmi02
110,Alize Johnson,2022,2022,1,4,28,3,10,0,0,3,4,7,13,1,2,0,1,3,9,.300,,.750,7.0,2.3,3.3,0.3,0.5,0.0,johnsal02
111,Carldell Johnson,2012,2012,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,.314,.267,.333,7.9,1.8,0.6,1.5,0.5,0.0,johnsca01
112,Chris Johnson,2012,2012,1,7,82,9,18,0,0,5,7,7,22,1,5,1,8,13,23,.500,,.714,11.7,3.3,3.1,0.1,0.7,0.1,johnsch03
113,James Johnson,2021,2021,1,22,539,79,182,16,60,28,47,18,91,48,18,19,28,61,202,.434,.267,.596,24.5,9.2,4.1,2.2,0.8,0.9,johnsja01
114,Linton Johnson,2006,2007,2,81,1209,149,329,23,66,47,60,92,278,30,43,30,51,155,368,.453,.348,.783,14.9,4.5,3.4,0.4,0.5,0.4,johnsli01
115,Orlando Johnson,2016,2016,1,5,54,4,17,1,5,1,2,1,6,2,1,0,3,4,10,.235,.200,.500,10.8,2.0,1.2,0.4,0.2,0.0,johnsor01
116,Stanley Johnson,2019,2019,1,18,247,38,91,11,34,9,13,9,42,28,12,1,26,22,96,.418,.324,.692,13.7,5.3,2.3,1.6,0.7,0.1,johnsst04
117,Trey Johnson,2012,2012,1,11,61,8,14,0,0,5,5,3,12,4,1,0,5,10,21,.571,,1.000,5.5,1.9,1.1,0.4,0.1,0.0,johnstr01
118,Wesley Johnson,2019,2019,1,26,377,35,88,19,50,6,9,10,54,16,12,7,12,45,95,.398,.380,.667,14.5,3.7,2.1,0.6,0.5,0.3,johnswe01
119,Herbert Jones,2022,2024,3,220,6607,802,1665,227,609,397,482,269,837,528,338,164,281,670,2228,.482,.373,.824,30.0,10.1,3.8,2.4,1.5,0.7,joneshe01
120,Jalen Jones,2018,2018,1,4,19,1,4,1,1,2,2,0,3,0,0,0,0,2,5,.250,1.000,1.000,4.8,1.3,0.8,0.0,0.0,0.0,jonesja04
121,Solomon Jones,2012,2012,1,11,196,23,53,0,0,15,18,21,41,7,5,6,13,31,61,.434,,.833,17.8,5.5,3.7,0.6,0.5,0.5,jonesso01
122,Terrence Jones,2017,2017,1,51,1264,231,489,19,75,103,170,65,303,59,39,53,48,67,584,.472,.253,.606,24.8,11.5,5.9,1.2,0.8,1.0,joneste01
123,Chris Kaman,2012,2012,1,47,1372,266,597,0,0,84,107,89,364,101,25,77,129,106,616,.446,,.785,29.2,13.1,7.7,2.1,0.5,1.6,kamanch01
124,Maciej Lampe,2005,2006,2,23,277,32,87,0,1,7,10,16,61,12,4,5,8,33,71,.368,.000,.700,12.0,3.1,2.7,0.5,0.2,0.2,lampema01
125,Carl Landry,2011,2012,2,64,1601,289,565,0,4,205,257,116,308,51,23,24,91,160,783,.512,.000,.798,25.0,12.2,4.8,0.8,0.4,0.4,landrca01
126,Walt Lemon Jr.,2018,2018,1,5,35,7,16,1,1,2,3,0,2,5,0,1,4,5,17,.438,1.000,.667,7.0,3.4,0.4,1.0,0.0,0.2,lemonwa01
127,Kira Lewis Jr.,2021,2024,4,118,1624,245,623,70,232,82,96,30,157,214,64,14,78,137,642,.393,.302,.854,13.8,5.4,1.3,1.8,0.5,0.1,lewiski01
128,E.J. Liddell,2024,2024,1,8,23,1,6,0,5,2,2,0,5,1,2,2,2,2,4,.167,.000,1.000,2.9,0.5,0.6,0.1,0.3,0.3,liddeej01
129,DeAndre Liggins,2018,2018,1,27,244,18,41,8,17,0,0,2,26,21,10,4,7,20,44,.439,.471,,9.0,1.6,1.0,0.8,0.4,0.1,liggide01
130,Randy Livingston,2003,2003,1,2,12,2,4,0,0,2,2,0,0,1,0,0,0,0,6,.500,,1.000,6.0,3.0,0.0,0.5,0.0,0.0,livinra01
131,Robin Lopez,2013,2013,1,82,2136,384,719,0,0,161,207,226,462,64,32,128,110,167,929,.534,,.778,26.0,11.3,5.6,0.8,0.4,1.6,lopezro01
132,Didi Louzada,2021,2022,2,5,63,3,16,2,11,0,0,3,5,4,2,0,3,5,8,.188,.182,,12.6,1.6,1.0,0.8,0.4,0.0,louzama01
133,George Lynch,2003,2005,3,203,4131,364,923,82,255,92,148,290,839,309,146,49,173,378,902,.394,.322,.622,20.3,4.4,4.1,1.5,0.7,0.2,lynchge01
134,Arvydas Macijauskas,2006,2006,1,19,135,14,41,3,12,13,15,3,10,5,7,0,8,10,44,.341,.250,.867,7.1,2.3,0.5,0.3,0.4,0.0,macijar01
135,Jamaal Magloire,2003,2005,3,187,5923,786,1671,0,4,658,915,607,1776,203,100,235,418,628,2230,.470,.000,.719,31.7,11.9,9.5,1.1,0.5,1.3,magloja01
136,Will Magnay,2021,2021,1,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,.000,.000,,3.0,0.0,0.0,0.0,0.0,0.0,magnawi01
137,Sean Marks,2009,2010,2,74,913,84,173,2,10,32,49,76,210,16,7,36,37,138,202,.486,.200,.653,12.3,2.7,2.8,0.2,0.1,0.5,marksse01
138,Naji Marshall,2021,2024,4,230,4484,608,1416,174,556,333,429,154,809,467,162,44,246,331,1723,.429,.313,.776,19.5,7.5,3.5,2.0,0.7,0.2,marshna01
139,Jamal Mashburn,2003,2004,2,101,4051,826,1984,138,373,378,449,85,615,509,97,22,267,238,2168,.416,.370,.842,40.1,21.5,6.1,5.0,1.0,0.2,mashbja01
140,Desmond Mason,2006,2007,2,145,4677,682,1590,1,6,420,625,188,643,181,94,39,305,310,1785,.429,.167,.672,32.3,12.3,4.4,1.2,0.6,0.3,masonde01
141,Roger Mason,2013,2013,1,69,1219,132,305,66,159,39,43,11,132,74,26,11,51,104,369,.433,.415,.907,17.7,5.3,1.9,1.1,0.4,0.2,masonro01
142,CJ McCollum,2022,2024,3,167,5686,1317,2898,521,1280,366,479,113,730,886,166,80,350,323,3521,.454,.407,.764,34.0,21.1,4.4,5.3,1.0,0.5,mccolcj01
143,Dominic McGuire,2013,2013,1,9,145,9,21,0,0,1,2,7,28,9,8,3,5,13,19,.429,,.500,16.1,2.1,3.1,1.0,0.9,0.3,mcguido01
144,Gal Mekel,2015,2015,1,4,43,3,20,0,3,0,0,0,1,13,2,0,2,1,6,.150,.000,,10.8,1.5,0.3,3.3,0.5,0.0,mekelga01
145,Nicolò Melli,2020,2021,2,82,1283,151,382,76,243,60,80,50,237,107,43,24,53,152,438,.395,.313,.750,15.6,5.3,2.9,1.3,0.5,0.3,mellini01
146,Pops Mensah-Bonsu,2011,2011,1,7,35,1,3,0,0,0,0,3,11,2,0,0,2,11,2,.333,,,5.0,0.3,1.6,0.3,0.0,0.0,mensapo01
147,Darius Miller,2013,2019,5,253,5161,523,1252,327,856,151,182,49,423,346,110,61,163,510,1524,.418,.382,.830,20.4,6.0,1.7,1.4,0.4,0.2,milleda01
